Company,Product,Cpu,Ram,Memory,Gpu,Price_euros,Age_years,Condition_10,Battery_Health_%
Dell,Precision 5520,Intel Core i7 6820HQ 2.7GHz,8GB,256GB SSD,Nvidia Quadro M1200,2135.0,4,8,72
Lenovo,ThinkPad X1,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,2509.0,4,8,72
Asus,Rog GL753VD-GC042T,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,1039.0,5,7,65
Asus,Rog GL753VE-GC070T,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1591.0,5,7,65
Acer,Aspire 5,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce MX130,693.99,6,6,58
MSI,Leopard GP72M,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,1349.0,5,7,65
Dell,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R7 M445,778.87,5,7,65
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,AMD A9-Series 9420 3GHz,4GB,256GB SSD,AMD Radeon 520,499.0,6,6,58
Lenovo,ThinkPad E580,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,1229.56,5,7,65
Lenovo,ThinkPad L470,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,938.0,5,7,65
Dell,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,2712.0,4,8,72
Lenovo,Thinkpad X1,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Intel HD Graphics 620,2625.0,4,8,72
Lenovo,IdeaPad 320-15IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,306.0,6,6,58
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1529.0,5,7,65
Lenovo,ThinkPad E580,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 550,1144.5,5,7,65
Acer,Aspire 7,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,879.0,5,7,65
MSI,GE73VR 7RF,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2249.0,4,8,72
Asus,Zenbook 3,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,1873.0,5,7,65
Toshiba,Portege Z30-C-16P,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,1747.0,5,7,65
Dell,Latitude 7480,Intel Core i7 7600U 2.8GHz,8GB,512GB SSD,Intel HD Graphics,1680.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,409.0,6,6,58
Lenovo,Lenovo IdeaPad,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,304.45,6,6,58
Lenovo,ThinkPad P51,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia Quadro M1200,1925.0,5,7,65
Lenovo,Thinkpad T470p,Intel Core i7 7700HQ 2.8GHz,8GB,512GB SSD,Nvidia GeForce GT 940MX,1943.0,5,7,65
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon 520,469.0,6,6,58
Acer,Aspire R7,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,789.01,5,7,65
Asus,ZenBook Flip,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,928.0,5,7,65
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,598.9,6,6,58
Dell,Latitude 3380,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,689.0,6,6,58
HP,EliteBook 1040,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 520,1500.0,5,7,65
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,539.95,6,6,58
Lenovo,ThinkPad E480,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon RX 550,1215.38,5,7,65
Lenovo,Yoga 720-15IKB,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,1899.0,5,7,65
Chuwi,LapBook 12.3,Intel Celeron Quad Core N3450 1.1GHz,6GB,64GB Flash Storage,Intel HD Graphics 500,449.0,6,6,58
HP,ProBook 650,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Intel HD Graphics 630,1427.0,5,7,65
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,597.0,6,6,58
Dell,Alienware 17,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2799.0,4,8,72
Dell,Inspiron 7577,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,1159.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  2TB HDD,AMD Radeon 530,1142.4,5,7,65
Dell,Latitude 5480,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,1099.0,5,7,65
HP,Omen 17-w207nv,Intel Core i7 7700HQ 2.8GHz,12GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,1999.0,4,8,72
Mediacom,FlexBook Edge,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,299.0,6,6,58
Samsung,Chromebook 3,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 400,269.0,6,6,58
Lenovo,Thinkpad 13,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1010.0,5,7,65
Lenovo,IdeaPad 320s-14IKB,Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,599.0,6,6,58
Lenovo,Thinkpad T570,Intel Core i7 7600U 2.8GHz,16GB,512GB SSD,Nvidia GeForce 940MX,2445.0,4,8,72
Lenovo,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,16GB,512GB SSD,Nvidia Quadro M2200M,2449.0,4,8,72
Asus,Rog Strix,AMD Ryzen 1600 3.2GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,1695.0,5,7,65
HP,15-ra044nv (N3060/4GB/500GB/W10),Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics 400,347.0,6,6,58
Google,Pixelbook (Core,Intel Core i7 7Y75 1.3GHz,16GB,512GB SSD,Intel HD Graphics 615,2199.0,4,8,72
Lenovo,ThinkPad T470s,Intel Core i7 7500U 2.7GHz,24GB,512GB SSD,Intel HD Graphics 620,2382.0,4,8,72
Asus,VivoBook Max,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,559.0,6,6,58
Lenovo,IdeaPad 320-15AST,AMD A6-Series 9220 2.5GHz,8GB,1TB HDD,AMD Radeon R4,519.0,6,6,58
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,AMD Radeon 530,749.0,6,6,58
Lenovo,ThinkPad X270,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1429.0,5,7,65
Lenovo,IdeaPad 320-15IAP,Intel Pentium Quad Core N4200 1.1GHz,4GB,128GB SSD,Intel HD Graphics 505,349.0,6,6,58
HP,Omen 15-AX205na,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1099.0,5,7,65
Dell,Latitude 5480,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,1179.0,5,7,65
Acer,Aspire ES1-572,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,441.8,6,6,58
Dell,Precision 3520,Intel Xeon E3-1505M V6 3GHz,8GB,64GB Flash Storage +  1TB HDD,Nvidia Quadro M620,1993.0,4,8,72
MSI,GV62 7RD-1686NL,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,1027.74,5,7,65
Microsoft,Surface Laptop,Intel Core i7 7660U 2.5GHz,16GB,512GB SSD,Intel Iris Plus Graphics 640,2589.0,4,8,72
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,589.0,6,6,58
Dell,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD,Nvidia Quadro M620,1975.0,4,8,72
HP,ProBook 650,Intel Core i7 7820HQ 2.9GHz,8GB,512GB SSD,Intel HD Graphics 620,1534.0,5,7,65
Lenovo,ThinkPad T470,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1345.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,979.0,5,7,65
Dell,Inspiron 3168,Intel Pentium Quad Core N3710 1.6GHz,4GB,500GB HDD,Intel HD Graphics 405,479.0,6,6,58
Dell,Alienware 17,Intel Core i7 7700HQ 2.7GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,2046.0,4,8,72
Microsoft,Surface Laptop,Intel Core M m3-7Y30 2.2GHz,4GB,128GB SSD,Intel HD Graphics 615,989.0,5,7,65
Microsoft,Surface Laptop,Intel Core i7 7660U 2.5GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,1799.0,5,7,65
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,639.9,6,6,58
Acer,Aspire E5-576G,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Nvidia GeForce 940MX,544.0,6,6,58
Acer,TravelMate B,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,435.0,6,6,58
Asus,Pro P2540UA-AB51,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,749.0,6,6,58
Lenovo,IdeaPad 510s-14IKB,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,AMD Radeon R7 M460,799.0,5,7,65
Lenovo,Thinkpad P51,Intel Core i7 7820HQ 2.9GHz,8GB,256GB SSD,Nvidia Quadro M2200M,2090.0,4,8,72
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,304.0,6,6,58
Acer,Aspire 5,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Nvidia GeForce GTX 940MX,469.0,6,6,58
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,2TB HDD,AMD Radeon 530,759.0,6,6,58
HP,Omen 17-an006nv,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1060,1699.0,5,7,65
Lenovo,Thinkpad T460s,Intel Core i7 6600U 2.6GHz,12GB,256GB SSD,Intel HD Graphics 520,1858.0,5,7,65
HP,Spectre x360,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,1999.0,4,8,72
HP,ZBook 15u,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,AMD FirePro W4190M ,1154.0,5,7,65
Google,Pixelbook (Core,Intel Core i5 7Y57 1.2GHz,8GB,128GB SSD,Intel HD Graphics 615,1275.0,5,7,65
Dell,Latitude 7390,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1841.85,5,7,65
Asus,ZenBook Pro,Intel Core i7 6700HQ 2.6GHz,12GB,128GB SSD +  1TB HDD,Intel HD Graphics 530,1299.0,5,7,65
Dell,Latitude E5470,Intel Core i3 6100U 2.3GHz,8GB,128GB SSD,Intel HD Graphics 520,740.0,6,6,58
Dell,Precision M5520,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,2408.0,4,8,72
Lenovo,Thinkpad T470,Intel Core i5 7200U 2.5GHz,8GB,180GB SSD,Intel HD Graphics 620,1364.0,5,7,65
Dell,Inspiron 3576,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 520,675.0,6,6,58
Toshiba,Portege X30-D-10J,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1672.0,5,7,65
Dell,Inspiron 7570,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Nvidia GeForce 940MX,1262.0,5,7,65
Dell,Vostro 3568,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,586.6,6,6,58
HP,ProBook 430,Intel Core i5 8250U 1.6GHz,4GB,128GB SSD,Intel UHD Graphics 620,726.0,6,6,58
Chuwi,"Lapbook 15,6",Intel Atom x5-Z8350 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,248.9,6,6,58
Lenovo,ThinkPad E570,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,Intel HD Graphics 520,565.0,6,6,58
Lenovo,ThinkPad E480,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1049.0,5,7,65
Dell,Precision 3520,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro M620,2338.0,4,8,72
Dell,XPS 15,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,1899.0,5,7,65
Lenovo,Thinkpad X270,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,1798.0,5,7,65
Asus,Zenbook UX390UA,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,1950.0,5,7,65
Lenovo,Thinkpad E570,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,1011.99,5,7,65
Toshiba,Portege X30-D-10L,Intel Core i7 7500U 2.7GHz,32GB,512GB SSD,Intel HD Graphics 620,2799.0,4,8,72
Asus,VivoBook Pro,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,1350.0,5,7,65
Acer,Aspire 5,AMD A10-Series 9620P 2.5GHz,8GB,1TB HDD,AMD Radeon RX 540,579.0,6,6,58
Asus,Rog G752VL-UH71T,Intel Core i7 6700HQ 2.6GHz,24GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 965M,1269.0,5,7,65
Lenovo,Thinkpad X260,Intel Core i5 6200U 2.3GHz,8GB,180GB SSD,Intel HD Graphics 520,1099.0,5,7,65
Lenovo,Ideapad 520-15IKBR,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,898.9,5,7,65
HP,EliteBook 840,Intel Core i7 7600U 2.8GHz,8GB,1TB SSD,Intel HD Graphics 620,1749.0,5,7,65
Lenovo,ThinkPad 13,Intel Core i3 7100U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 620,949.0,5,7,65
Lenovo,ThinkPad L570,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,911.0,5,7,65
Asus,VivoBook E201NA,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,340.0,6,6,58
HP,15-BS026nv (i5-7200U/8GB/256GB/Radeon,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,AMD Radeon 520,618.99,6,6,58
Lenovo,Yoga 920-13IKB,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,1599.0,5,7,65
Lenovo,IdeaPad 320-14IAP,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,299.0,6,6,58
Lenovo,Chromebook N23,Intel Celeron Dual Core N3060 1.6GHz,4GB,16GB SSD,Intel HD Graphics 400,265.0,6,6,58
Lenovo,ThinkPad 13,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,949.0,5,7,65
Asus,ZenBook UX510UX-CN211T,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,1224.0,5,7,65
Acer,Aspire A515-51G-59QF,Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Nvidia GeForce MX150,613.0,6,6,58
HP,Envy 13-AB002nv,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,1323.0,5,7,65
Lenovo,Legion Y520-15IKBN,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1149.0,5,7,65
Dell,XPS 13,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Intel HD Graphics 620,899.0,5,7,65
Acer,Aspire A515-51G,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,Nvidia GeForce 940MX,639.0,6,6,58
Dell,Vostro 5568,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,836.0,5,7,65
Dell,Inspiron 5570,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,1219.24,5,7,65
Xiaomi,Mi Notebook,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD,Nvidia GeForce MX150,1399.95,5,7,65
Asus,VivoBook E12,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,245.0,6,6,58
HP,15-bs190od (i5-8250U/4GB/1TB/W10),Intel Core i5 8250U 1.6GHz,4GB,1TB HDD,Intel UHD Graphics 620,521.47,6,6,58
Asus,ROG Zephyrus,Intel Core i7 7700HQ 2.8GHz,24GB,512GB SSD,Nvidia GeForce GTX1080,2968.0,4,8,72
HP,Probook 450,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930MX,889.0,5,7,65
Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX1050 Ti,1504.0,5,7,65
Lenovo,Legion Y720-15IKB,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1399.0,5,7,65
HP,Spectre X360,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1399.0,5,7,65
Dell,Latitude 5480,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,1279.73,5,7,65
HP,ProBook 440,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,689.0,6,6,58
Dell,Inspiron 5770,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,889.0,5,7,65
Lenovo,ThinkPad L470,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,1340.0,5,7,65
Lenovo,IdeaPad 320-15IKB,Intel Core i7 7500U 2.7GHz,4GB,1TB HDD,Nvidia GeForce 920MX,799.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,8GB,2TB HDD,Nvidia GeForce 920MX ,459.0,6,6,58
Dell,Inspiron 3567,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon R5 M430,585.0,6,6,58
Dell,Latitude 5580,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Intel HD Graphics 620,1377.0,5,7,65
Dell,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,3012.77,4,8,72
Toshiba,Satellite Pro,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,Intel HD Graphics 620,860.0,5,7,65
Asus,Zenbook UX510UW-FI095T,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,1299.0,5,7,65
Mediacom,SmartBook Edge,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,369.0,6,6,58
Asus,ROG Strix,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,1649.0,5,7,65
Dell,Latitude 5580,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,1369.0,5,7,65
Dell,Inspiron 5570,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,797.41,5,7,65
HP,250 G6,Intel Pentium Quad Core N3710 1.6GHz,4GB,256GB SSD,Intel HD Graphics 405,398.99,6,6,58
HP,Omen 15-ce006nv,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1060,1799.0,5,7,65
Lenovo,Thinkpad E470,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,859.0,5,7,65
Dell,XPS 13,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,1399.0,5,7,65
Dell,Vostro 5468,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,735.87,6,6,58
HP,Envy 13-AB020nr,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,1145.0,5,7,65
Acer,Aspire 7,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,798.0,5,7,65
Asus,VivoBook X540YA-XX519T,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,AMD Radeon R2 Graphics,349.0,6,6,58
HP,ProBook 450,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,705.5,6,6,58
Lenovo,ThinkPad E470,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,785.0,5,7,65
Lenovo,V310-15ISK (i5-6200U/4GB/1TB/FHD/No,Intel Core i5 6200U 2.3GHz,4GB,1TB HDD,Intel HD Graphics 520,462.35,6,6,58
HP,250 G6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,397.0,6,6,58
Lenovo,ThinkPad T570,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Intel HD Graphics 620,1729.0,5,7,65
Lenovo,IdeaPad 320-15ISK,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,499.0,6,6,58
Dell,Latitude 5580,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,1116.99,5,7,65
Dell,Alienware 17,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2699.0,4,8,72
HP,17-X047na (i3-6006U/8GB/1TB/W10),Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,544.15,6,6,58
HP,ProBook 470,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 930MX,1280.0,5,7,65
Asus,A541NA-GO342 (N3350/4GB/500GB/Linux),Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,224.0,6,6,58
Mediacom,SmartBook 130,Intel Atom x5-Z8350 1.44GHz,4GB,32GB Flash Storage,Intel HD Graphics,255.0,6,6,58
Lenovo,IdeaPad 320-17IKB,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,949.0,5,7,65
HP,15-bw007nv (A10-9620P/6GB/128GB/Radeon,AMD A10-Series A10-9620P 2.5GHz,6GB,128GB SSD,AMD Radeon 530,568.9,6,6,58
Dell,Vostro 3568,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M420,617.9,6,6,58
Acer,Spin SP111-31,Intel Celeron Dual Core N3350 2.0GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,349.0,6,6,58
Lenovo,V330-15IKB (i3-7130U/4GB/128GB/FHD/W10),Intel Core i3 7130U 2.7GHz,4GB,128GB SSD,Intel HD Graphics 620,630.0,6,6,58
HP,EliteBook 1030,Intel Core M 6Y75 1.2GHz,16GB,512GB SSD,Intel HD Graphics 515,1965.0,4,8,72
Lenovo,Thinkpad P71,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M620M,2999.0,4,8,72
Asus,FX553VD-DM627T (i5-7300HQ/8GB/1TB,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,839.0,5,7,65
Dell,XPS 13,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,1599.0,5,7,65
Dell,Latitude 5580,Intel Core i5 7300U 2.6GHz,4GB,500GB HDD,Intel HD Graphics 620,959.0,5,7,65
Fujitsu,Lifebook A557,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,739.0,6,6,58
Lenovo,IdeaPad 320-15IAP,Intel Pentium Quad Core N4200 1.1GHz,4GB,500GB HDD,Intel HD Graphics 505,344.0,6,6,58
Lenovo,ThinkPad L470,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,990.0,5,7,65
HP,ZBook 17,Intel Core i5 7440HQ 2.8GHz,8GB,500GB HDD,Nvidia Quadro M1200,1860.99,5,7,65
HP,14-am079na (N3710/8GB/2TB/W10),Intel Pentium Quad Core N3710 1.6GHz,8GB,2TB HDD,Intel HD Graphics 405,389.0,6,6,58
HP,15-cd005nv (A9-9420/6GB/256GB/Radeon,AMD A9-Series A9-9420 3GHz,6GB,256GB SSD,AMD Radeon 530,649.0,6,6,58
Lenovo,Thinkpad E570,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,830.0,5,7,65
Lenovo,V330-15IKB (i5-8250U/4GB/500GB/FHD/W10),Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 620,685.0,6,6,58
Mediacom,SmartBook 141,Intel Atom x5-Z8350 1.44GHz,4GB,32GB SSD,Intel HD Graphics,249.0,6,6,58
Toshiba,Tecra X40-D-10H,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,1865.0,5,7,65
Lenovo,IdeaPad Y910-17ISK,Intel Core i7 6820HK 2.7GHz,32GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2663.0,4,8,72
MSI,GT73VR Titan,Intel Core i7 7820HK 2.9GHz,16GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,2729.0,4,8,72
Dell,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,749.01,6,6,58
Mediacom,SmartBook Edge,Intel Celeron Quad Core N3450 1.1GHz,4GB,32GB SSD,Intel HD Graphics 500,389.0,6,6,58
Dell,Latitude 5580,Intel Core i5 7300U 2.6GHz,8GB,500GB HDD,Intel HD Graphics 620,1008.52,5,7,65
HP,ProBook 430,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,719.0,6,6,58
